0,1,2,3,4,5,6,7,8,9,10
tropical fruit,whole milk,vinegar,,,,,,,,
rolls/buns,onions,napkins,,,,,,,,
sausage,soda,,,,,,,,,
yogurt,domestic eggs,,,,,,,,,
misc. beverages,other vegetables,brown bread,,,,,,,,
other vegetables,fruit/vegetable juice,,,,,,,,,
frozen meals,dental care,,,,,,,,,
tropical fruit,grapes,,,,,,,,,
yogurt,whole milk,,,,,,,,,
soda,butter,,,,,,,,,
butter milk,canned beer,yogurt,semi-finished bread,margarine,,,,,,
whole milk,pip fruit,,,,,,,,,
other vegetables,chewing gum,newspapers,,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
bottled water,chocolate,,,,,,,,,
root vegetables,pickled vegetables,,,,,,,,,
sausage,curd,,,,,,,,,
pip fruit,rolls/buns,yogurt,,,,,,,,
spread cheese,other vegetables,,,,,,,,,
sausage,sausage,dog food,yogurt,hygiene articles,chocolate,,,,,
shopping bags,rolls/buns,,,,,,,,,
meat,cake bar,,,,,,,,,
meat,other vegetables,,,,,,,,,
berries,brown bread,,,,,,,,,
ham,bottled water,,,,,,,,,
frankfurter,curd cheese,chocolate,pastry,soda,,,,,,
soda,other vegetables,,,,,,,,,
meat,rolls/buns,,,,,,,,,
tropical fruit,coffee,dessert,fruit/vegetable juice,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
pastry,kitchen towels,,,,,,,,,
frankfurter,baking powder,shopping bags,,,,,,,,
coffee,napkins,,,,,,,,,
citrus fruit,roll products ,,,,,,,,,
frankfurter,shopping bags,,,,,,,,,
red/blush wine,cream cheese ,,,,,,,,,
root vegetables,butter,,,,,,,,,
newspapers,newspapers,,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
grapes,soda,other vegetables,,,,,,,,
tropical fruit,curd,salt,bottled water,,,,,,,
root vegetables,newspapers,,,,,,,,,
chicken,domestic eggs,,,,,,,,,
whole milk,whipped/sour cream,newspapers,,,,,,,,
root vegetables,ice cream,rolls/buns,,,,,,,,
yogurt,soda,,,,,,,,,
whole milk,sugar,,,,,,,,,
soda,domestic eggs,,,,,,,,,
whole milk,yogurt,,,,,,,,,
coffee,shopping bags,,,,,,,,,
whole milk,soda,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
other vegetables,mayonnaise,beverages,,,,,,,,
oil,margarine,,,,,,,,,
frankfurter,curd,specialty cheese,,,,,,,,
ham,pickled vegetables,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
soda,napkins,,,,,,,,,
bottled beer,berries,,,,,,,,,
beef,pastry,,,,,,,,,
sausage,whole milk,rolls/buns,,,,,,,,
root vegetables,white bread,,,,,,,,,
tropical fruit,flower soil/fertilizer,flour,specialty bar,,,,,,,
root vegetables,white bread,meat spreads,,,,,,,,
citrus fruit,liquor,white bread,,,,,,,,
canned beer,brown bread,,,,,,,,,
whole milk,frozen potato products,,,,,,,,,
citrus fruit,onions,,,,,,,,,
root vegetables,brown bread,domestic eggs,,,,,,,,
whole milk,berries,,,,,,,,,
salt,cream cheese ,,,,,,,,,
canned fruit,brown bread,,,,,,,,,
rolls/buns,soda,shopping bags,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
bottled water,butter milk,,,,,,,,,
root vegetables,frozen dessert,beverages,,,,,,,,
sauces,frozen vegetables,,,,,,,,,
tropical fruit,chewing gum,,,,,,,,,
canned beer,soda,frozen vegetables,,,,,,,,
grapes,other vegetables,,,,,,,,,
coffee,misc. beverages,,,,,,,,,
pork,other vegetables,,,,,,,,,
whole milk,pastry,,,,,,,,,
sausage,whole milk,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
citrus fruit,citrus fruit,specialty chocolate,cream cheese ,,,,,,,
chicken,UHT-milk,napkins,,,,,,,,
root vegetables,yogurt,tropical fruit,shopping bags,,,,,,,
canned beer,baking powder,,,,,,,,,
instant coffee,domestic eggs,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
cooking chocolate,shopping bags,,,,,,,,,
yogurt,frozen vegetables,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
whipped/sour cream,shopping bags,,,,,,,,,
root vegetables,bottled beer,,,,,,,,,
beverages,cream cheese ,,,,,,,,,
photo/film,chewing gum,,,,,,,,,
rolls/buns,citrus fruit,,,,,,,,,
whole milk,napkins,,,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
whole milk,whole milk,,,,,,,,,
whole milk,rolls/buns,cat food,shopping bags,,,,,,,
bottled beer,bottled beer,,,,,,,,,
other vegetables,pickled vegetables,hard cheese,,,,,,,,
root vegetables,bottled water,frozen dessert,,,,,,,,
berries,napkins,cereals,,,,,,,,
semi-finished bread,whole milk,,,,,,,,,
pip fruit,specialty fat,,,,,,,,,
newspapers,pastry,,,,,,,,,
tropical fruit,condensed milk,,,,,,,,,
pork,margarine,sugar,,,,,,,,
root vegetables,ham,,,,,,,,,
finished products,dessert,,,,,,,,,
pip fruit,white bread,margarine,baking powder,,,,,,,
citrus fruit,beef,,,,,,,,,
pot plants,other vegetables,,,,,,,,,
bags,yogurt,soda,,,,,,,,
shopping bags,misc. beverages,,,,,,,,,
bottled beer,whipped/sour cream,,,,,,,,,
onions,dish cleaner,,,,,,,,,
citrus fruit,ham,,,,,,,,,
onions,other vegetables,,,,,,,,,
margarine,frozen vegetables,,,,,,,,,
bottled water,citrus fruit,,,,,,,,,
yogurt,cream cheese ,,,,,,,,,
butter milk,flour,,,,,,,,,
pork,specialty chocolate,,,,,,,,,
cream cheese ,coffee,,,,,,,,,
whole milk,white bread,cream cheese ,,,,,,,,
whole milk,yogurt,,,,,,,,,
other vegetables,rolls/buns,brown bread,,,,,,,,
pip fruit,berries,white wine,other vegetables,,,,,,,
domestic eggs,yogurt,,,,,,,,,
butter milk,kitchen towels,,,,,,,,,
citrus fruit,frozen meals,coffee,seasonal products,yogurt,soups,,,,,
hard cheese,rolls/buns,,,,,,,,,
sausage,tropical fruit,yogurt,rolls/buns,margarine,shopping bags,,,,,
curd,citrus fruit,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
sliced cheese,skin care,,,,,,,,,
curd,detergent,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
bottled water,yogurt,,,,,,,,,
tropical fruit,coffee,whole milk,,,,,,,,
pork,specialty chocolate,,,,,,,,,
specialty bar,roll products ,,,,,,,,,
sausage,other vegetables,oil,candy,,,,,,,
whole milk,newspapers,,,,,,,,,
bottled water,sugar,candy,,,,,,,,
beef,pot plants,frozen meals,,,,,,,,
ham,domestic eggs,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
shopping bags,whole milk,whole milk,whole milk,detergent,flour,,,,,
seasonal products,dishes,shopping bags,,,,,,,,
whole milk,citrus fruit,,,,,,,,,
misc. beverages,margarine,,,,,,,,,
cream cheese ,shopping bags,,,,,,,,,
UHT-milk,herbs,newspapers,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
yogurt,liqueur,,,,,,,,,
canned beer,cooking chocolate,white bread,curd,mustard,chocolate,,,,,
chicken,napkins,soda,,,,,,,,
chewing gum,yogurt,,,,,,,,,
rolls/buns,waffles,,,,,,,,,
grapes,detergent,,,,,,,,,
curd cheese,newspapers,UHT-milk,,,,,,,,
soda,liquor (appetizer),,,,,,,,,
soda,hard cheese,,,,,,,,,
root vegetables,condensed milk,dessert,,,,,,,,
whole milk,pip fruit,softener,,,,,,,,
rolls/buns,cling film/bags,,,,,,,,,
misc. beverages,rolls/buns,frozen vegetables,beverages,condensed milk,,,,,,
onions,berries,,,,,,,,,
whipped/sour cream,fruit/vegetable juice,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
pastry,whipped/sour cream,,,,,,,,,
yogurt,white bread,,,,,,,,,
sausage,curd,,,,,,,,,
pork,root vegetables,,,,,,,,,
